zcta,under_100_FPL,less_12_education,non_employment,renting,crowded,single_parent_family,no_vehicle_households
1073,0.01843169,0.03695052,0.190021231,0.080929487,0,0.0265,0.006810897
1074,0.476945245,0.12987013,0.531728665,0.661111111,0,0.3875,0.344444444
1075,0.081846236,0.044806517,0.260261194,0.232640787,0.003827228,0.117455896,0.050027337
1077,0.042073303,0.035745678,0.213582167,0.137632078,0.00758602,0.07637051,0.027905717
1079,0.234375,0.002192982,0.434184676,0.377862595,0,0.290748899,0.133587786
1080,0.045624533,0.097654119,0.267987487,0.364004044,0,0.172413793,0.060667341
1081,0.045184304,0.0625,0.179347826,0.083815029,0,0.080962801,0
1082,0.108464849,0.083835543,0.315605929,0.289902953,0.014660335,0.201472557,0.083419368
1083,0.120913746,0.097877358,0.281609195,0.411960133,0,0.22417154,0.120708749
1084,0.096774194,0.047619048,0.117647059,0.16,0,0,0
1085,0.087099256,0.100166649,0.323617533,0.328724551,0.012177332,0.120779977,0.079216084
1088,0.114482759,0,0.198039216,0.417948718,0.020512821,0.52020202,0.017948718
1089,0.105424734,0.092483866,0.263065118,0.432117248,0.025135923,0.114362076,0.100858876
1092,0.071583514,0,0.304648863,0.411003236,0,0.105084746,0.037216828
1093,0,0,0.141176471,0,0,0.066666667,0
1094,0,0,0.375,0,0,0,0
1095,0.038485672,0.029481467,0.186113346,0.098662207,0.00204385,0.058441558,0.038647343
1096,0.043824701,0.027902342,0.132420091,0.148148148,0.001806685,0.007802341,0.036133695
1097,0,0,0.368421053,0.705882353,0,0,0
1098,0.028571429,0.040892193,0.253493014,0.04496788,0.021413276,0.021671827,0.017130621
1103,0.445336903,0.189655172,0.382195846,0.921791444,0.027406417,0.389057751,0.402406417
1104,0.202844278,0.247472987,0.366774393,0.53597715,0.019444139,0.319449541,0.222124574
1105,0.487319909,0.35219756,0.540522348,0.887206058,0.118373854,0.504704876,0.411119968
1106,0.037771178,0.034186504,0.304973967,0.09521419,0.009370817,0.061589093,0.038821954
1107,0.409725605,0.333284841,0.512024922,0.721445221,0.045920746,0.379914224,0.332634033
1108,0.285785824,0.201216015,0.365705788,0.546882437,0.018657782,0.249624812,0.162398858
1109,0.24742742,0.225398822,0.483921831,0.571131664,0.016938585,0.349071703,0.204302193
1118,0.149227786,0.09751583,0.271945099,0.222921034,0.018343816,0.196647486,0.05520615
1119,0.180762981,0.13194218,0.390372568,0.265223275,0.02435724,0.214307932,0.13164508
1128,0.070519099,0.081642284,0.24673913,0.059891107,0,0.077956989,0.017241379
1129,0.118410762,0.057393791,0.259846421,0.231867719,0,0.124929018,0.0526118
1151,0.175581395,0.199134199,0.402618658,0.556846473,0.019087137,0.340184564,0.144121715
1201,0.136820564,0.072913894,0.275687309,0.377226527,0.005987723,0.193517302,0.137466036
1220,0.137926799,0.072355055,0.298803973,0.388765157,0.011630784,0.165623495,0.160356347
1222,0.069020867,0.208067941,0.3075,0,0,0,0.042016807
1223,0.084276239,0.036044812,0.302017654,0.060118544,0.0042337,0.109459459,0.016088061
1224,0,0.089108911,0.177419355,0.196428571,0,0.255813953,0
1225,0.064526088,0.068816359,0.2956743,0.113768584,0.012928248,0.066528067,0.040077569
1226,0.078795644,0.043176074,0.260451045,0.233356449,0,0.118771727,0.014216366
1229,0.216,0.076923077,0,0.265060241,0,0,0
1230,0.078177864,0.056589499,0.263791899,0.243379237,0.008474576,0.115241636,0.054025424
1235,0.082553884,0.106469689,0.279448622,0.197355996,0.027384325,0.075070822,0.023607177
1236,0.029522613,0.039308176,0.12,0.169628433,0,0.020833333,0.019386107
1237,0.035495716,0.048927982,0.170972644,0.03646833,0.021113244,0.228096677,0.004798464
1238,0.068512111,0.019914347,0.176556562,0.200233281,0.008553655,0.132248939,0.042768274
1240,0.073929115,0.058730991,0.354940711,0.32603841,0,0.132683658,0.099151407
1242,0.039215686,0.023952096,0.426315789,0,0,0,0
1243,0.051851852,0,0.21978022,0,0,0,0
1244,0.050632911,0.048611111,0.447916667,0.121621622,0,0,0.040540541
1245,0.083333333,0.136294028,0.51497006,0.014925373,0,0.014981273,0
1247,0.132755729,0.108060477,0.295503212,0.395989975,0.012089046,0.182913165,0.132094943
1253,0.0225,0.065006916,0.213610586,0.180371353,0.013262599,0.021459227,0.00530504
1254,0.052029136,0.011976048,0.237322515,0.036363636,0.006818182,0.010238908,0.006818182
1255,0.063854048,0.120956399,0.243494424,0.033802817,0.014084507,0.101321586,0.045070423
1256,0.146103896,0.106995885,0.231511254,0.055737705,0.006557377,0.168539326,0.029508197
1257,0.128699552,0.006063947,0.132197891,0.287833828,0,0.016516517,0.025717112
1258,0.031914894,0.024390244,0.298245614,0.049382716,0,0,0.024691358
1259,0.03202329,0.015350877,0.226950355,0.116541353,0.04887218,0.221649485,0.007518797
1260,0,0,0,0,0,0,0
1262,0.145235362,0.035182679,0.413333333,0.297902098,0.023776224,0,0.020979021
1264,0.144927536,0.011235955,0.125,0.244897959,0.020408163,0.090909091,0
1266,0.102941176,0.04150454,0.304347826,0.155701754,0,0.144694534,0.013157895
1267,0.106508876,0.023913997,0.332957111,0.243875686,0,0.094789705,0.074954296
1270,0.043043043,0.03230148,0.271802326,0.007537688,0.005025126,0.034482759,0
1301,0.154016298,0.08573568,0.291140443,0.444012158,0.01325228,0.195323571,0.123404255
1330,0.1175,0.033210332,0.307768924,0.177865613,0,0.044496487,0.046113307
1331,0.10225939,0.099486457,0.321528949,0.256282336,0.009793052,0.145945946,0.11067997
1337,0.063665856,0.054470709,0.237055521,0.155172414,0.005747126,0.104395604,0.016283525
1338,0,0,0.192307692,0.083333333,0,0,0
1339,0.093839542,0.060085837,0.246376812,0.151419558,0.006309148,0.044854881,0.033123028
1340,0.0717322,0.067679558,0.13653484,0.180838323,0.043113772,0.080536913,0.011976048
1341,0.032258065,0.025601241,0.210583153,0.114845938,0.025210084,0.075356415,0.008403361
1342,0.169706582,0.030366492,0.299376299,0.422391858,0,0.296187683,0
1343,0.093333333,0.133858268,0.156521739,0.347222222,0.041666667,0.023809524,0
1344,0.080615385,0.074358974,0.258192651,0.220088626,0.016248154,0.087591241,0.062038405
1346,0.08478803,0.031347962,0.225961538,0.049261084,0,0.204081633,0.009852217
